,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
31760,garo hills,0,1,356,0,34270,0,1,336,2019
31761,khasi hills,0,0,0,0,0,0,0,0,2017
31762,garo hills,0,0,14,0,1170,0,0,0,2017
31763,khasi hills,0,0,39,0,1373,0,0,0,2021
31764,ri bhoi,0,3,81,0,750,0,0,0,2016
31765,garo hills,0,2,31,0,2231,0,0,0,2016
31766,khasi hills,0,0,168,0,3937,0,0,0,2015
31767,khasi hills,0,0,55,0,2557,0,0,0,2020
31768,garo hills,0,228,229,0,0,1,0,1,2015
31769,jaintia hills,0,1,26,0,1300,0,0,0,2021
31770,garo hills,0,1,28,0,2620,0,1,25,2020
31771,khasi hills,0,0,38,0,0,0,0,0,2014
31772,khasi hills,0,0,33,0,540,0,0,0,2014
31773,garo hills,0,1,102,0,5800,0,0,0,2015
31774,khasi hills,0,0,135,0,5529,0,0,8,2021
31775,garo hills,0,0,19,0,224,0,0,0,2015
31776,khasi hills,0,0,23,0,1236,0,0,0,2021
31777,garo hills,0,0,38,0,1500,0,0,15,2017
31778,khasi hills,0,0,153,0,8148,0,0,4,2017
31779,garo hills,0,1,84,0,4208,0,0,0,2020
31780,garo hills,0,1,110,0,10200,0,1,102,2020
31781,jaintia hills,6,0,122,252,4388,0,0,0,2017
31782,garo hills,0,0,95,0,8727,0,0,17,2019
31783,khasi hills,0,0,40,0,3146,0,0,0,2017
31784,garo hills,1,1,146,99,14330,0,0,6,2017
31785,khasi hills,0,0,13,0,422,0,0,0,2015
31786,garo hills,0,0,64,0,0,0,0,0,2014
31787,khasi hills,0,0,37,0,1892,0,0,0,2018
31788,ri bhoi,0,0,114,0,3272,0,0,0,2018
31789,garo hills,0,8,30,0,3000,0,8,30,2021
31790,khasi hills,2,0,74,130,5762,0,0,21,2019
31791,ri bhoi,0,0,34,0,2088,0,0,0,2017
31792,garo hills,0,0,0,0,0,0,0,0,2018
31793,garo hills,0,1,58,0,3718,0,0,0,2017
31794,garo hills,0,1,55,0,4800,0,1,48,2019
31795,garo hills,0,0,108,0,6946,0,0,1,2017
31796,garo hills,0,0,28,0,2720,0,0,25,2020
31797,garo hills,0,0,82,0,8200,0,0,82,2018
31798,garo hills,0,1,35,0,2800,0,0,0,2015
31799,khasi hills,0,0,57,0,4110,0,0,0,2019
31800,khasi hills,0,0,132,0,4038,0,0,0,2014
31801,garo hills,1,0,126,100,11302,1,0,111,2016
31802,khasi hills,0,0,18,0,1700,0,0,14,2016
31803,khasi hills,0,0,204,0,0,0,0,0,2016
31804,khasi hills,0,0,177,0,5219,0,0,0,2021
31805,garo hills,0,1,14,0,1400,0,1,14,2019
31806,jaintia hills,0,0,148,0,13082,0,0,0,2017
31807,garo hills,0,1,59,0,5070,0,0,0,2016
31808,garo hills,0,0,0,0,0,0,0,0,2015
31809,ri bhoi,0,0,216,0,0,0,0,0,2017
31810,khasi hills,0,0,34,0,1690,0,0,2,2021
31811,khasi hills,0,0,40,0,3960,0,0,38,2018
31812,garo hills,0,1,34,0,3400,0,1,34,2021
31813,garo hills,0,0,81,0,6881,0,0,24,2017
31814,garo hills,0,0,78,0,1744,0,0,0,2015
31815,garo hills,0,1,99,0,4600,0,0,0,2014
31816,garo hills,0,0,81,0,3990,0,0,0,2018
31817,garo hills,0,10,38,0,2355,0,0,0,2015
31818,khasi hills,0,0,78,0,5840,0,0,10,2020
31819,garo hills,0,7,34,0,3380,0,7,33,2019
31820,garo hills,0,0,69,0,6900,0,0,69,2018
31821,garo hills,0,0,85,0,8245,0,0,42,2014
31822,jaintia hills,0,0,265,0,5154,0,0,0,2020
31823,garo hills,0,0,58,0,3952,0,0,0,2017
31824,garo hills,0,0,131,0,12870,0,0,128,2019
31825,garo hills,0,0,99,0,5738,0,0,0,2015
31826,ri bhoi,5,0,95,81,2171,0,0,0,2019
31827,garo hills,0,328,328,0,26513,0,0,0,2017
31828,ri bhoi,1,0,70,36,1051,0,0,0,2020
31829,khasi hills,0,0,154,0,1890,0,0,0,2014
31830,khasi hills,0,0,147,0,5103,0,0,0,2021
31831,khasi hills,0,0,95,0,0,0,0,0,2019
31832,ri bhoi,0,0,64,0,3920,0,0,8,2018
31833,garo hills,24,126,239,1065,10430,0,0,0,2019
31834,garo hills,0,0,66,0,2900,0,0,28,2019
31835,garo hills,0,6,74,0,7360,0,6,73,2019
31836,khasi hills,0,0,46,0,4363,0,0,28,2017
31837,garo hills,0,13,32,0,1134,0,0,0,2014
31838,jaintia hills,0,0,86,0,2479,0,0,0,2016
31839,ri bhoi,0,0,43,0,3116,0,0,15,2019
31840,garo hills,0,0,0,0,0,0,0,0,2015
31841,khasi hills,0,0,88,0,5240,0,0,0,2016
31842,garo hills,0,0,173,0,12309,0,0,0,2016
31843,jaintia hills,0,0,254,0,2634,0,0,0,2021
31844,ri bhoi,3,0,36,277,2875,2,0,20,2020
31845,khasi hills,0,0,54,0,2316,0,0,0,2020
31846,garo hills,0,0,38,0,1510,0,0,0,2014
31847,khasi hills,0,0,270,0,6015,0,0,0,2016
31848,khasi hills,0,2,140,0,12994,0,2,113,2016
31849,ri bhoi,0,6,172,0,0,0,0,0,2015
31850,khasi hills,0,0,47,0,3101,0,0,9,2020
31851,garo hills,0,1,38,0,3800,0,1,38,2020
31852,garo hills,0,2,99,0,5880,0,0,0,2019
31853,garo hills,1,3,65,68,2712,0,0,0,2019
31854,khasi hills,0,0,0,0,0,0,0,0,2019
31855,jaintia hills,0,0,479,0,7858,0,0,0,2020
31856,garo hills,0,3,55,0,5476,0,3,31,2017
31857,khasi hills,0,0,35,0,0,0,0,0,2021
31858,garo hills,0,0,39,0,1950,0,0,0,2017
31859,garo hills,0,1,45,0,3248,0,0,0,2015
31860,khasi hills,2,0,112,168,9181,0,0,103,2014
31861,garo hills,0,0,32,0,2263,0,0,0,2015
31862,garo hills,0,0,39,0,3818,0,0,34,2020
31863,garo hills,0,0,19,0,1400,0,0,0,2015
31864,garo hills,5,1,33,50,330,0,0,0,2014
31865,khasi hills,0,0,26,0,0,0,0,0,2014
31866,khasi hills,0,0,41,0,3738,0,0,22,2017
31867,garo hills,0,1,25,0,2500,0,1,25,2016
31868,khasi hills,0,0,17,0,1598,0,0,10,2019
31869,garo hills,0,4,63,0,4500,0,1,36,2014
31870,garo hills,0,2,100,0,8624,0,0,0,2018
31871,garo hills,0,0,62,0,3720,0,0,0,2015
31872,garo hills,0,0,30,0,812,0,0,0,2014
31873,khasi hills,0,0,52,0,2994,0,0,12,2021
31874,jaintia hills,0,0,6,0,0,0,0,0,2019
31875,garo hills,0,1,71,0,5750,0,0,46,2018
31876,khasi hills,0,0,89,0,0,0,0,0,2015
31877,khasi hills,1,1,154,24,2616,0,0,0,2014
31878,khasi hills,2,0,330,146,22826,0,0,0,2021
31879,khasi hills,0,0,75,0,82,0,0,0,2020
31880,garo hills,0,3,82,0,6734,0,0,0,2020
31881,khasi hills,0,0,62,0,2692,0,0,3,2019
31882,ri bhoi,0,0,27,0,996,0,0,0,2018
31883,garo hills,0,0,41,0,4100,0,0,0,2014
31884,garo hills,0,0,60,0,6000,0,0,60,2021
31885,garo hills,0,3,129,0,11640,0,2,112,2021
31886,ri bhoi,0,0,109,0,9911,0,0,0,2017
31887,garo hills,0,1,32,0,2893,0,0,10,2021
31888,garo hills,0,1,167,0,6350,0,0,0,2017
31889,garo hills,0,0,26,0,2600,0,0,26,2021
31890,khasi hills,0,0,150,0,11692,0,0,1,2016
31891,ri bhoi,0,0,0,0,0,0,0,0,2018
31892,garo hills,113,30,209,7675,14363,0,0,0,2019
31893,khasi hills,0,0,116,0,9890,0,0,98,2018
31894,garo hills,0,1,46,0,4300,0,1,43,2017
31895,garo hills,0,2,180,0,16575,0,0,0,2018
31896,garo hills,0,0,77,0,7610,0,0,76,2017
31897,garo hills,0,3,50,0,5000,0,3,50,2019
31898,ri bhoi,0,40,192,0,10515,0,2,21,2016
31899,khasi hills,0,2,312,0,25460,0,1,169,2020
31900,khasi hills,0,2,16,0,378,0,0,0,2017
31901,garo hills,1,2,153,0,12924,0,1,69,2021
31902,garo hills,0,0,30,0,1914,0,0,0,2015
31903,garo hills,0,8,121,0,7035,0,0,0,2021
31904,garo hills,0,0,36,0,3500,0,0,0,2020
31905,garo hills,0,0,65,0,5376,0,0,0,2015
31906,garo hills,0,0,19,0,1900,0,0,0,2015
31907,garo hills,0,0,39,0,2886,0,0,0,2017
31908,garo hills,0,11,159,0,15628,0,10,121,2016
31909,ri bhoi,0,0,33,0,1592,0,0,2,2016
31910,garo hills,0,0,30,0,2274,0,0,0,2021
31911,ri bhoi,0,0,41,0,3508,0,0,29,2018
31912,garo hills,84,84,205,2244,5664,0,0,0,2019
31913,khasi hills,0,0,188,0,7185,0,0,3,2019
31914,khasi hills,0,0,160,0,6906,0,0,14,2020
31915,jaintia hills,0,0,121,0,0,0,0,0,2019
31916,garo hills,0,0,51,0,4465,0,0,0,2017
31917,khasi hills,0,0,84,0,4055,0,0,0,2020
31918,garo hills,0,1,101,0,9438,0,1,89,2018
31919,ri bhoi,0,0,57,0,1829,0,0,0,2020
31920,garo hills,0,0,55,0,5500,0,0,55,2018
31921,khasi hills,0,0,40,0,3917,0,0,22,2019
31922,khasi hills,0,0,119,0,1056,0,0,0,2016
31923,garo hills,0,0,64,0,0,0,0,0,2016
